1533148840# #D4.城堡内部。
1626090794# #今天去接孩子，想想这是初中的最后一次，有些感伤！三年一晃而过，感恩感谢省附这个大家庭给予孩子的爱和教导，在这里他度过了充实的初中时光，变得更加阳光，自信和健康！谢谢老师们的辛勤浇灌心心心
1520048796# #今早又去了两家学校投简历，同上周一样，一家收一家拒。不过拒收的理由并非时间问题，而是从来不收只有网上报名。好吧，3月17日再来咨询。貌似顶尖民校都是网上报名。
1668395463# #昨天广州阳了4000+，继续在高位平台，今天海珠继续封，但天河已不全员核酸了，只对重点风险区域做。看来是落实国家二十条。大家保护好自己，各自珍重！
1564656380# #英国铁路硬件好但服务差。列车晚点是常态，列车信息混乱（图五显示9点到伦敦火车准点，但直至8点41分也不知道哪个站台），上车后发现座位居然重复，但也找不到列车员解决，车厢行李架窄，普通行李箱也放不下。因为从爱丁堡没有直达牛津，需要在纽卡斯尔中转，而中转时间只有几分钟，没时间购票，还特么
1589971716# #饭后散步至此，人流量明显增加。真好！
1695088205# #2023年度党员主题教育。
1564740422# #今天准备去moreton（最美乡村小镇）。在站台上看时刻表时，旁边一位老人主动问我们去哪儿？告知后他非常肯定地说坐下一班列车。我随口问了句“英国人？”，老人笑着很自豪地说“荷兰人”，并且主动介绍后面三位团友，说自己已来过几次，这次是他们的导游！难怪对英国这么熟，而且英语发音很标准。老婆
1562803570# #这得多🈶️信仰（俗）才行啊！哈哈哈哈哈哈
1623875108# #夜里梦见了父亲……泪泪我想他是放心不下母亲吧，可惜还没来得及告诉他母亲的近况，梦就醒了。翻开父亲的照片，泪流满面泪安息吧！我会好好照顾她的。
1533501016# #D8.伦敦确是个大都市，人多啊！
1601169418# #这个山庄不错哦！毗邻西湖，非常安静。
1590923359# #换个角度。
1674708215# #正月初五，恭迎财神，恭喜发财！今天也是岳母生日，祝老人家幸福安康、寿比南山！按照惯例，每年此日，太太俩姐妹会起早陪岳母去光孝寺敬香拜神，顺便在附近吃斋，晚上则是大餐等着……舔屏舔屏哥上午去母亲家坐了会儿，跟着去ole购物，年三十买的太妃糖大家都说好，保姆也喜欢吃，打算买盒送她，
1559958249# #孩子月考卷压轴题第二问，折腾了半个小时也没解出来允悲允悲郁闷死了悲伤悲伤
1538006678# #历史古城，标准四线。
1533378177# #D7.乘坐观光公交看伦敦之三：奢侈品牌一条街鼓掌
1564847752# #内宫三
1580781773# #人民英雄！志愿楷模！致敬。
1635254316# #站在江滩看汉口和大桥。
1696472950# #今天孩子继续上学，我陪太太去上班哈哈其实呢，也就陪走一段路，中途钻入星巴克。经不起店员营销，看中了个装宠物外出的小袋包，顺便买了个咖啡套餐。可能太早店里没几个人，叹下空调，看看十天前在香港买的报纸，很是惬意！是的，你没看错，十天前的报笑cry回来一直没时间看。哥每次去香港都买几
1561464308# #从候机大厅走向飞机，一群人慢慢散步在跑道上，高兴时来张合影或自拍允悲而不是通过呆板长廊或摆渡，机场小不用排队等候起飞（说不定还可以提前飞）机上人少一人可以霸占整排无人理，这种方式我超级喜欢。印象中上次这样登机是2012年吧？井冈山红色之旅……，此后就没有此后了笑cry
1561288090# #便宜就是硬道理！难得今天88折，全场人比平时多不少，国人是这样子的哈哈当然我也不能免俗允悲允悲允悲
1565109322# #核心商圈某店铺经营时间，不得不说老外公私分明，即使是服务行业！相比而言，我们真是太勤劳了！
1531085832# #今天出门早，因为航班早呗……
1601561554# #祝福伟大的祖国繁荣昌盛，人民生活幸福！
1674468710# #正月初二，流浪地球2。小弟根据剧情分析，后面还要拍续集3、4、5，否则人类没法完成5个阶段移居邻座恒星系的计划doge
1529296895# #老广州老城区老字号—陶陶居（康有为题），人多位窄，实在太拥挤。
1555460952# #有些酒店的硬件软件都很好，高大上；但一顿早餐就打回原形了哈哈哈哈哈哈
1525164912# #中午直接去了南沙广州外国语学校，妥妥的一线公办，今年不再是推荐摇号，而是视同民校招生，这给了我们机会。学校亭台水榭，绿树成荫，与其说是校园，不如说是公园，南沙地大人少的优势立马体现。除了学生宿舍，罕见的还有三栋教师宿舍。唯一不好的就是离市区太远，单程50公里，这样每个周末接送够呛！
1690299424# #落日余晖。
1661299485# #终于终于，降温了！可是我准备回去了。起个大早，去熟悉的店吃碗热干面，再来一个油饼，回酒店的路上，看见一只猫躺在地上，经过时对着我叫，想起家里的“小米”，喂了几块油饼，不吃。靠！叼嘴笑cry
1681902969# #一觉醒来，我毛已入欧冠四强，虽并不意外，但也感慨万千。在欧冠圈子，我米上次入四强是久远的2006年，那时马队、卡卡、九爷、加秃、西黑、皮后腰俱在，算算已经沉沦了十六年，这时间足以让婴儿变成青年，哥差点以为它再也无法自强。好在结果完美，终究不负我三十五的拥护和支持挤眼进军决赛，捧回第
1558488769# #路过，下车，抽烟。这个是大导演张纪中吗？哈哈哈哈哈哈
1621732111# #玉岩中学。
1667178417# #要想生活过得去，穗康码必须带点绿！笑cry
1627658700# #晚饭后和孩子在小区附近散步，不知不觉走到小学门口。一切依旧，转眼已过三年，孩子在这里度过了六年美好时光。
1528429464# #外面倾盆大雨，我自岿然不动哈哈
1665019432# #刚看了篇文章，写得不错。特摘录几段。。。冬天，刚刚开始；寒气，不会消逝。。第一，长期不乐观。不要寄希望于牛市，大气候不变，一两年内看不到，冬天寒气会很冷。第二，短期不悲观，红十月回回血。只要房地产企稳，防疫政策松动，股市内在是有修复动力的。毕竟，中国经济目前是通缩，不是通胀，货币没
1537680043# #表弟的新居，简直是个动物园笑cry
1532876017# #D1-6。巧遇单车比赛，简直是全民健身活动，英国选手在连续两届奥运会自行车比赛成绩优异，这是有道理的。
1570189104# #今天九月初六，也是母亲75岁生日，祝她老人家身体健康、福如东海、寿比南山！母亲是广州人，1962年考入武汉大学，1967年以优异成绩大学毕业，但因家庭成分不好，分配到湖北农村插队落户，种田割草，但她始终没有埋怨，任劳任怨吃苦耐劳，干的活和男人没啥区别。父亲本可以分到大城市科研单位，但也毅然
1564334730# #这风这浪，莫非真有湖怪挤眼
1533398942# #D7.初看以为是车祸，实则是拍电影允悲
1532879424# #D1-7。圣詹姆斯公园，一座皇家园林，乏善可陈，唯近白金汉宫。
1536535348# #今年的节气特别明显。白露刚过，秋意立现，往年直至国节也还热得不行！但这几天已明显凉了许多，早晚无需开空调，甚至风扇也不用，当然睡觉仍是要开空调，这是个习惯。赶早班机去帝都，见见同事，好久没出差北京了。
1682740732# #贵人出门多风雨笑cry千里赴喜宴，遇上大雨飞机延误，耐心等待…多谢招行VIP服务！
1564650542# #感觉爱丁堡。遍布城市的纪念雕像、教堂和建筑，体现了对历史文化的尊重、传承与守望。再见！
1580552258# #在家闲了八天，根本不想抽烟，这样再持续几天，估计烟也戒了！允悲允悲
1552806713# #欧米茄经典系列：星座（图1-3）、海马（图4-5）、日内瓦（图6），其他是怀表和机芯。国内精品，尽在眼前，大开眼界可爱
1593557737# #著我旧衣裳，穿上孩子鞋，晨跑练起来！好久没锻练，今天控制一下，只跑5公里，顺便听听《学习强国》，一举两得，乐哉！
1630296937# #重庆天气不错，27度很舒服。
1523264602# #每年这个时候都是最忙的，这是惯例，年年如此。话说上午开完晨会后，连续上会了两个项目，会后急忙赶2点多飞机去福州，平生第一次在起飞前40分钟才到达值机柜台，好在机警的我已有预案，提前电话通知南航选座值机打牌，否则等着误机吧！行程安排下午谈完事，晚班机飞上海，明天中午在陆家嘴有饭局。生
1558329537# #夏天，炎热，猫咪也怕，吐舌卖萌。
1535933974# #把枝繁叶茂的大树砍了，换成亭亭玉立小树苗。这个逻辑我完全不懂悲伤市政园林绿化机构的各位领导专家，广州的夏天如此漫长！天气又如此炎热，你们到底怎么想的呢？
1544077205# #中山医科大学附属第一医院，无庸置疑是个优秀三甲医院，多个学科在国内位居前列，设备先进齐全医生素质高，但精细化管理欠缺，有待提高，今天11点半父亲入手术室，我和叔叔在外等候了两个小时，一直未通知签名，忍不住问医生，答曰可能正在手术中，或仍在排队，一个说了等于没说的废话，我就奇怪难不成
1553217250# #这家酒店的住客，老外比中国人多笑cry
1564744042# #分享图片
1682760376# #上午10点出门，折腾了七个小时，下午5点到武汉。天气真好！下一步坐晚上8点多的动车，可以在机场慢慢吃个热干面、牛肉粉坏笑
1601642263# #初三意味着黄金周不可能远游，想想也不能八天都在家闷着，今天假装去旅游哈哈中午先去位于荔湾区的省实验中学看看，后又来到黄埔区的市二中晃悠。无他，这两个是我们的目标高中，顺便就在二中旁的酒店入住。五年前，我们曾经住过这地方，当时还沒有什么想法，也不知道附近有苏元二中和二中高中部。现
1564153442# #苏格兰的老巢。因为历史上与英格兰一直不和，他们说自己是苏格兰人，不是英国人！笑cry
1564834202# #地球上大约有125万动物，其中75%是昆虫。可以说，昆虫是地球上最成功的物种。
1628730182# #办理户政业务。真心不想来这里，但也没第二个去处，上次来是去年11月为父亲办理户籍注销，当时泪流满面泪泪泪
1695091363# #信阳，山青水秀，一个假北方城市。
1535168258# #体验孩子学校的伙食。
1530905319# #这不是我熟悉的桑巴军团，攻不上去，守不下来；不敢过人，只会短传；长传不准，斜传龟速；没有配合，胡乱浪射。能不输吗？
1564941867# #曾经有人发微博说老外在地铁上看书、国人却在刷屏，以此证明老外喜欢学习。对此，在下绝不认同。以伦敦为例，它是世界上最古老的地铁，1856年就开始兴建，后来的新线路只能越挖越深，线路众多犹如蜘蛛网般，如Central和Piccadily两条线至少有几十米深，怎么可能有信号呢？如果坐Circle和district则比较
1526953391# #519南航转场T2后首次乘机。大厅人少安静、宽敞明亮、设施先进，值机柜台对着安检，无需像以前绕一圈。今后多坐南航，喜新厌旧是人之常情哈哈哈哈哈哈
1589533278# #本周儿子返校复课了，清理书桌，发现…，我只能说：孩子的世界，你永远不懂挤眼
1533671864# #英伦行之“食”。说到食必须吐槽，据说欧洲饮食从北、东、中、西、南依次增强，意、法最强，北欧和英国最弱，有句笑话：英国是全宇宙能把最好的食材做得很烂的首选之地。所以呢，饮食和英语刚好相反，北欧英语特强，南欧英语最差哈哈伦敦、剑桥、巴斯，满街充斥fish&chips、steakhouse，价格也不便
1564743878# #小镇宁静祥和，意外地又见到这四位老人。
1589199232# #孩子返校了，晚上俩人去花城广场散步，被淋成落汤鸡笑cry笑cry
1670459054# #全面放开第一天，天气真好！公司大楼今天什么都不查了，测温计也不响了！
1700530101# #我这是有多久没坐过始发T1的航班，更有多长时间没坐过海航挤眼
1520438866# #晚上见到老婆看一部三十多年前的港剧《流氓大亨》，顿时勾起无数美好的回忆！想当年，无线翡翠台《奋斗》《火凤凰》等优秀港剧在广东播映时，周润发、郑裕玲、万梓良、吴孟达、关海山、南红等人的精彩演绎令人印象深刻，难以忘怀。那些剧真实反映了七八十年代港人的拼搏精神，这也是香港成为亚洲四小龙
1621649384# #早上刚起床，接到一江西手机，以为又是那些啥的……，结果原来是通过大数据追查，发现我近期去过江西笑cry笑cry笑cry广州人，现在也变成过街老鼠了吗？咱在天河，好久没去过荔湾西关，冤！好吧，静等湖南电话，因为上周也去过长沙允悲允悲允悲
1580541101# #对着镜子，看看自己。八天没刮胡子，真是爽歪歪！馋嘴馋嘴馋嘴
1536162327# #晚上孩子打电话问为什么我们没去学校看他，因为他知道省附是允许家长周三送汤水探视。妻告诉他，没收到学校通知啊！其实呢，我们是想他更独立。但估计有家长今晚去学校了失望说明孩子有点想家，没事让他慢慢适应吧！上了几天课，他说所有课目中最喜欢的是政！治！笑cry然后依次是历史、地理、生物
1569281435# #真好！
1669088941# #广州昨天阳了8200*，较前天多了100，显然是降了个寂寞失望我搞不懂的是海珠区已是如此严管控，到底每天这7000多的无症状怎么来的呢？心累。
1533486859# #D8.回程经过HSBC总部。途中看到一艘大邮轮。再次见到伦敦塔桥打开，Solucky！挤眼
1602065743# #父亲前天因心衰、呼吸困难住院，好在核酸检测没事，虽担心但相信住院有医护监测，问题也不会太大。现在更重要的是照顾母亲，母亲有轻度阿尔茨海默症，平时一刻也不能离开父亲，否则很多事情就会乱套。把母亲接到家，两天相处就已发现很多问题，想想平时真是难为了父亲，打理母亲一切，入院多少也是积劳
1539999359# #孩子的周末，也是我俩最忙的时候，她在家煮饭操持家务，我陪读。一切从熟悉课本教材开始！虽然中学理科，但哥从来就对历史地理有着浓厚的兴趣doge
1643953520# #碧江金楼，晚清大户人家的私宅。按现代人的审美，虽说有点俗气，但倒也别具风格。
1574983086# #半夜三更，电话铃响，我就知道“坏了”！果然孩子发烧了。今早6点多起床，立马赶去学校，我们太难了……
1564171206# #今天从伦敦飞爱丁堡的机型，哥算是飞得多了！居然愣是说不出这是什么飞机？笑cry
1549017892# #孩子在太空馆玩得不亦乐乎！我在旁闲逛，走累了，歇一会儿。望着弥敦道上密布的人群，感觉他们好像一群工蚁笑cry笑cry我怎么突然会有这样的想法允悲允悲
1575412436# #往来上海这么多次，这是第一次从T1航站楼出发。好土呀哈哈
1597294663# #都市中的世外桃源。
1596107537# #事办完了，但最近的航班得是晩八点。决定去晋祠看看，人说到太原不去晋祠，犹如到北京不去故宫。晋祠，1961年公第一批国家级重点文物保护单位，江湖称有三宝，尤以圣母殿、十字桥名气最大。但我以为，那几株千年古柏最为罕见，形状各异，奇形怪状，生命力极其顽强！难道这不是我们人生的写照？想想十年
1540731465# #我家的新成员。很快适应了新环境doge
1562130516# #笑而不语是一种豁达，痛而不言是一种修养。过往不恋，未来不迎，当下不负，如此安好。
1567232821# #开学在即，已经提前进入状态。今天下午，重返故地，一切从英语开始，伟大辛苦的妈妈！
1677139946# #信阳很特别，淮河以南大别山以北，归属河南但主粮是大米，生活习惯和南方一样，冬天长时间零度也不供暖，这里的人是最抗冻的。哥十一年前第一次来感觉𠎵湖北，当时的新区一片不毛之地，时隔多年再来，新城区已成规模，繁华热闹。新区道路命名简单粗暴，东西单数，统一叫“新X街”，南北双数，统一叫
1664685890# #从小学5年级小升初始，这六年多的国庆黄金周假期，我们三口子几乎就没有出去旅游，最多也只是市内晃悠，偶尔在外住一两晚酒店。今次，概莫能外！咬咬牙，再熬两年，大家都解放doge到那时，没准黄金周我俩去学校看你哈哈哈哈
1533550635# #D9.今天伦敦大堵车呀！事故处理车也来了。哥们只能提前下车，步行到牛津街，shopping！shopping！
1653264313# #我的初恋，时隔多年再度夺冠！告诉你们一个小秘密，12月16日，米兰生日，也是哥的生日挤眼当然它大我几十年吧，1899年成立。
1538464902# #国庆假期，少有的出次门，结果不足100公里，开了三个半小时。路上遭遇两次堵车，第一段像个蜗牛爬行；第二段堵得我崩溃，如果不是哥尿急见机行事，果断下高速绕道，恐怕要四个多小时才到。黄金周，真不容易呀笑cry笑cry
1564440203# #所谓“靠山吃山、靠水吃水”。苏格兰高地远离工业城市，绿化覆盖率高，由于光照短且气温低，非常利于大麦和草场。大麦促成了苏格兰威士忌，草原促进了畜牧养殖业，从而使苏格兰羊绒闻名世界。我们沿着公路所到之处，经常见到一片片铁丝围栏草场，里面遍布牛羊，偶尔还有小马。高地区域人少地多，每户
1548995219# #漫步校园。
1564922773# #中国雕像，主要集中南北朝及隋唐五代。
1678428962# #DAY3.“伦敦人”据说是澳门酒店的天花板，房价6000-8000元，居然一房难求。今早逛了一圈，很震撼。早年是“威尼斯人”，后来是“巴黎人”，一个比一个豪华，澳门是打算将全世界搬来吗？现在的𠱁仔酒店林立，银河、永利也很壮观，各有千秋，永利在门口搞了音乐喷泉外加mini缆车，可以坐着入住酒店，这
1533056466# #D3.路人甲告诉我：这是牛顿的“苹果树”笑cry笑cry你这是污辱我的智商。
1673309065# #兩中早班机，感觉好久没出差了，但其实也就三个月。11月广州疫情严重，各地都不接待；12月放开后，阳了在家躺平。现在趁着节前处理好手尾，决不拖到年后！
1533398953# #D7.这是神马情况？嘻嘻
1557368707# #晚到机场，发现还是摆渡，机场广播已经点哥的名字催我登机，正在怀疑人生！一辆面包车突现眼前，OMG！感谢祥鹏航空，第一次坐经济舱享受贵宾待遇！
1687568827# #我真的真的愤怒😡先赶走精神领袖马尔蒂尼，再将未来旗帜托纳利摆上“货架”出售。一支传统豪门总有几名球员是非卖品，他们要么出自青训嫡系，要么从小就是铁杆，经过努力在球队踢上主力成为核心。他们代表着球队精神，传承着球会文化，是扛起队旗的球员。他们的最大梦想是在心仪的球队退役，进入名人
1655807652# #今晚约了几个省中行的老同事聚聚，试试这家新店，据说已在广州开了几十家。牛！
1661574795# #这地方有个天然水库，山上竹林密布，适合休闲度假，只是不能白天出门，太晒了允悲
1564690833# #老婆受她同事的影响，居然订了间青年旅舍，OMG，住宿环境从天上瞬间掉到地下！这和大学宿舍有啥区别？深感由奢入俭多么艰难允悲
1522900606# #清明时节太阳晒。
1533077233# #D3.再见，康桥。
1577514146# #新年气氛。小虎队出来了，这是哥大学时代的偶像哦！
1522548027# #昨晚陪考，今早陪读，反正这两年就贡献给了儿子，人生能有几次搏！由于培优机构调整了上课时间，中午要陪孩子吃饭午休，哥决定好好利用早上8-10点这两个小时，带上公文包，搬来笔记本电脑，看报告、写材料，忙得不亦乐乎。看看周围都是小朋友做功课，哥置身其中，恍惚回到学生时代允悲
1554369423# #第一次到大连。飞机掠过黄海，视野里逐渐出现一片陆地，看着机下的陆地，我在猜这是哪儿呢？是岛、半岛还是大陆呢？随着飞行五边的继续，飞机在内海转了两个弯，见到高楼大厦鳞次栉比，道路上蜗行的车辆，以及海港和填海工地，市区！那原来之前看到的是旅顺口。此行行程紧，匆匆一瞥，只是去了甘井子口
1650104377# #广州中小学继续停课，在家囤娃。
1686699516# #早上大雨倾盆，送孩子回校，孩子淋透了！打伞也没用。然后到公司，雨停了笑cry
1564243700# #网红打卡点，罗琳喝咖啡之地，《哈里波特》诞生之处。
1676170584# #有朋自深圳来，不亦乐乎？上周五同学来广州办事，几个广州同学小陪，人不多就四个，但关系链却不简单，有大学舍友、幼儿园兼小学同学、三个武汉人，更厉害的是其中两个没阳过good大家把茶言欢，畅所欲言，甚是开心。疫情三年来，这是我参加的第一个同学聚会，不胜唏嘘，三年失去很多！愿大疫不过三，
1576305467# #因为去过两次英国，也是仅有的两次出国，所以特别关注英国选举。虽然保守党大胜，但民族党横扫苏格兰，不遑多让。以我在英国所知，苏格兰人从不称自己是“英国人”，只认苏格兰人。真正想“脱欧”的是英格兰，而苏格兰是诉求独立建国留欧，北爱更想回归爱尔兰，威尔士是“摇摆派”。苏格兰民族党（SNP
1661562331# #黄埔的早晨。
1678412572# #DAY3.两个汉堡包、两杯热饮，盛惠120港币。澳门麦当奴指数，相当贵！
1564871474# #又到伦敦！酒店位于繁华市中心，距离去年的酒店仅几百米。设施一般般，伦敦物价太贵！据说这家酒店是几家南欧国家航空公司的驻扎地，果然马上就见到一位美女和一位机师doge
1671192407# #当家人阳了时，没有任何恐惧和惊慌，日子该怎么过就怎么过。
1565011754# #中午阴转晴，20度非常舒服。午饭后从特拉法加和国家艺术馆出发，沿着白街所到之处两边主要是政府部门，路过唐宁街10号首相府和国会广场，穿过威斯特敏斯特大桥，最终到达泰晤士河边的伦敦眼。
1627573045# #中考成绩出来了，孩子722分，正常发挥。现在静等1-3的录取结果。希望心想事成！
1564472881# #请允许我再一次吐槽英国饮食，简直垃圾得不行抓狂挖鼻怒具体而言，除了炸鱼薯条热狗三明治，几乎看不到其他的！问题是即使炸🐟薯条，也并非每家都好吃！无奈之下去麦当劳肯德基，才发现和国内完全不同，没有板烧鸡腿堡没有鳕鱼没有全家桶，代之以牛肉鸡肉等，但实在难吃，就连两个孩子也不喜欢
1533211751# #D5.到达巴斯。小站人不多，很安静。
1662454479# #高铁上坐久了，书报也看了微信也刷了，眼睛受不了！起来活动活动，站在门口观景，秋收后的田野只剩下秸杆，大山深处时有几个村落，今天天气很好！一列又一列对面的会车疾驰而过，看了下手表，大概两列间隔5分钟，按照300公里时速计算，两车前后相距25公里。嗯，算是安全距离吧！我该是多么无聊啊
1597650044# #晴朗，暴雨，雨后。一日三变！
1583410779# #最近避毒基本在家办公，孩子上网课，老婆也是workfromhome。时间长了居然也很习惯。早7点起床煮早餐、扫地、洗漱、学习强国；7点15孩子起床洗漱，7点半早餐，8点孩子上课，我们看无线新闻、凤凰早班车。9点上班，12点孩子下课，老婆煮午饭，1点孩子睡觉，我们也小息。2点起床，2点20孩子上课，我们也
1560237553# #要是能去武汉该多好呀！2019世界邮展今天开幕了，可惜啦！哥在出差泪
1620372702# #文化之地。
1564241526# #出乎意外，这个是今天最令人失望之处。如果是我来设计，会陈列苏格兰历史、文化、科学和技术，讲述苏格兰国王君主、民族英雄、秀美山川、光荣革命……，因为这是游人最关心的话题，而不是罗列一堆东西，零乱无序没逻辑挖鼻况且这些在位于伦敦的英国自然、科学、艺术博物馆均有，而且比你高级精美。集
1618734512# #今天是个好日子。
1527720247# #白云机场T2航站楼的儿童乐园有点创意good小蛮腰、五羊，一新一旧，彰显广州特色。
1533671329# #D11.到达Gatewick机场。伦敦有几个机场，一般来说入境希斯罗，出境盖徳维克。机场位于伦敦南边，距市区45公里，机场巴士足足坐了两个小时失望不过很欣赏下车地至机场大楼的连廊。
1559989834# #昨晚端午大餐上了碟丝瓜蒸白贝，白贝味道不错！吃完深感未够解喉允悲今天一个人吃饭又来了一碟，大快朵颐，方才够味笑cry哥秉承：人生在世，吃喝二字！哈哈
1695462125# #雨中漫步武大。
1584173234# #晒太阳，多聪明！挤眼挤眼
1533671589# #.英伦行之“住”。如果朋友们在香港住过酒店，伦敦就是翻版，不愧是宗主国和殖民地，上传下承。酒店房间面积大多10平方米，小到两人对面走得侧身让过，一家三口没法加床，最好的方法是横着睡。三星级夏季标间门市价250镑（约人民币2200），提前数月网订也不低于人民币1500，贵但未必值，没冰箱、不提供
1592908038# #签到。“帝乡”之名，缘自汉光武帝刘秀，云台二十八将也多出自南阳集团，刘秀是个好皇帝，对人宽容，手下将星云集。虽南阳襄阳互争孔明，但也不妨碍南阳武候祠的存在哈哈仲景大道、仲景路、仲景香菇和遍布城市的仲景大医房，你懂的！地锅鸡，好吃！
1564596455# #专访一家邮局，进去之后，发现不售普通邮票，也无纪念邮票，尽卖些花里胡哨的纪念品（超贵），还从事大量汇兑业务，咋感觉这是去了“中国邮政储蓄银行”呢？深感失望挖鼻
1645317536# #之前但还真没留意，原来如此搞笑😆符合我巾帼特色。让我再笑一会儿哈哈哈哈哈哈
1564651480# #慢慢体验。休闲的居民，商务款的出租车，便捷的城市轻轨，风格独特的便利店，人性化红绿灯控制键，密布全市的倾斜马路，以人为本的公交站，无人管理的自助公寓，老牌资本主义国家，风范犹存。再见！
1533486327# #D8.天文台的古之一。
1665893429# #今天全公司都回来，集体组织观看二十大开幕式。
1559360031# #每周必到。有人说陪伴是最长情的告白，绝对同意！但需要补充的是，这不限于伴侣关系，于父母于子女皆适用。孩子慢慢长大了，未来陪伴的日子越来越少，真到他外出求学工作生活后，不难想像……悲伤上周和同事聊天，问到我平时周末如何过？我告知大部分时间和孩子一起，坦白说几乎没有个人时间。是的，
1584551466# #我去！标普又跌7%，本月第四次熔断。只有你想不到，没有你看不到！允悲笑cry
1598503118# #不尽长江滚滚来。
1634625869# #早晨看了三姑妈发的朋友圈，关于善良……。深有感触，生活中我们坚持一件事情，有时并不是因为这样做会有效果，而是坚信这样做是对的。我们有责任，让善良得到回报，让好人不吃亏。如果好人没有好报，那我们每个人都难辞其咎；如果好人不再能发声，我们的世界会一片漆黑。你只管善良，其他交给时
1597024855# #南京，倾盆大雨，如何是好允悲
1573688523# #生日快乐！支持香港警察！
1561356669# #广州磅礴大雨，26度；天津骄阳似火，38度。这是南北差异吗？不过，北方虽热但干爽，两相比较，南方湿热更难受。
1601682292# #心境好，处处是风景。
1695176554# #秋天，多雨的季节笑cry
1632993693# #今天早下班，来接孩子。其实也没多远，就是想陪他走走。
1684637274# #鸠占鹊巢，关你啥事？八卦“好奇猫”，什么都要尝试一下。这睡姿，销魂允悲
1535894984# #开学第一天，再次来到学校。天公作美，暂时没雨。宿舍非常安静，教室灯火通明。以后再很难入校啦！
1538560411# #孩子同学家的车牌，抽签中，非拍卖品。6666good
1633449546# #去年今日，父亲重病入院治疗，但再也没有出来，直至……泪泪永远怀念您，敬爱的爸爸！
1689160553# #杭州之门，旁边是亚运主会场。
1693869706# #处暑后，广州虽仍是漫长的夏季，白天高达三十五度，但早上起来已有凉意，有一丝丝秋天的味道。
1565034175# #公园里的松鼠不怎么怕人doge
1563114544# #费德决赛第一盘，可以看出小德草地水平远胜纳豆，底线技术稳且准，一旦双方打到长拍数，基本是小德占优，他唯一弱的是发球。
1602281954# #半夜醒来，再也无法入睡，几天忙碌也没怎么运动，索性起来跑跑！
1533386376# #D7.承诺过孩子带他来一次麦当当，当然这也是我的习惯，每到一个地方都试试当地的M记，无论国内还是国外。图一是自助刷卡，图二是现金，图三是取货，程序与国内差不多。
1669216518# #“王侯将相，宁有种乎”。沙特击败阿根廷，打开了所谓“弱队”的幻想之门，所以日本干掉德国也就不意外。德国战车，今非昔比，上届小组也没出线，有些事情慢慢也就习惯了！事实证明，国际玩家眼光很毒，本届世界杯热门球队排名，德国第七，还在荷兰之后。荷兰，强队吗？未必。
1533029560# #D3.沿途乡村风景。，
1659430407# #今天股市大跌，哥们满仓，为国护盘加油加油“东风吹，战鼓擂，这世界，谁怕谁”！相信国家，慌个毛线呀！
1678261556# #澳门，黑沙海滩。
1649584999# #又多了十几个确诊，刚刚政府通知学校停课一周，一群家长在校门口等着孩子拿书出来，我们也不例外doge但愿只是一周。
1700701251# #昨天在外出差，中午上机返穗前，收到老友K先生微信，告知好友O先生离世。消息实在太突然！太意外！脑子一片空白，几乎没反应过来，忙电致K问何事，大概是前日早上O晨练中猝逝！他才50岁，正是人生黄金时期，真是人生无常，明天和意外不知哪个先到。我大概是2006年底认识O，他是广东人，律师，是公司法
1556462387# #吃晚饭时，突然收到老师短信，告知因本班多个学生发烧，为免传染其他班，学校决定本班停课两天，要求家长今晚接孩子回家悲伤匆忙扒几口饭，马上赶到学校，孩子们已被隔离在实验室大楼。只见班主任一脸愁容，而混小子们却欢天喜地，估计盼着提前放假，居然有个坏蛋发朋友圈“感谢生病发烧的同学”
1567922144# #冰棍，最爱。
1564757006# #蜜蜂泛滥，嗡嗡嗡不断作响！鲜花多呗！
1650160635# #今年天气很奇怪！春节冻成狗，往年清明过后基本进入夏季，但想不到4月中旬了，居然还有一波降温，得穿外套出门。多事之秋，期盼疫情早点结束，起码要缓和吧，否则经济扛不住啊！百姓生活会大受影响。
1533630515# #D10.查找漏网之鱼，还有自然历史博物馆没去，上午出发。我的postoffice在哪儿呀？屡次三番出岔子泪
1529857414# #今天心情不好，一直在踌躇是否写点啥！很遗憾，孩子广外校没有中，凌晨看到入选名单百般滋味上心头。今年广外校放弃了过往：学校推荐+电脑排位，而首次釆取开放网上报名，全市六年级有8000多人报名，筛选后有6000人摇号，最终2160人参与人机交互面试，选拔270人，录取率12%。牛娃多录取比率低，难度很
1701387358# #12月1日，又是一年，过得真快！去年此时，家人开始陆续阳了允悲
1549199115# #行走间，莫名戳中泪点泪泪抓狂抓狂
1536738474# #重回故地。
1674829260# #正月初六，啥也不说，六六大顺。明天大家返工上班了吧？哥继续休假，仅多一天，因为1月28日是孩子的生日挤眼
1564756963# #全特么是地主和土豪挤眼
1625803937# #亲爱的儿子，你即将迎来人生的第一次考试！送你三个“心”字：心静如水，心细如发，心想事成加油无论什么时候，爸爸妈妈都希望看到我们那个充满自信、轻松自如的小小男子汉！UAreReadyandTrustYourself加油
1656753990# #周末，大部分学生都考完了，出来浪！整条体育东路堵得水泄不通哈哈
1697092968# #阳澄湖，走一波，必须吃蟹挤眼上次来此是2018年，再上上次是2012我俩和老友夫妇
1568960179# #昆明入秋以来明显凉了，这几天又下了点小雨，有办公场所居然开暖气了，我的天！至于吗？春城，一个常年晚上睡觉不需开空调的地方。格力空调的销量可想而知笑cry笑cry
1697860863# #家长会。
1533658371# #D10.自然历史博物馆之一。
